Data    Horas Trabalhadas   Tipo Tarefa                Descrição da Tarefa Realizada
01/09   2                   estudar                    Estudo da documentação do Arcabouço de Testes
04/09   2                   estudar                    Estudo dos exemplos de uso do Arcabouço de Testes
05/09   1                   revisar código do módulo   Melhorias na legibilidade
05/09   2                   revisar código do módulo   Inclusão da função LIS_ProcurarValor nos testes
06/09   4                   projetar                   Elaboração de batchs para automatizar a geração da pasta a ser enviada
07/09   2                   redigir script de teste    Aprimoramento dos scripts do módulo Lista
08/09   1                   redigir script de teste    Aprimoramento dos scripts do módulo Lista
09/09   1                   revisar código do módulo   Correco de bugs que faziam o programa voar
09/09   1                   redigir script de teste    Correcao de erros nos testes
11/09   1                   revisar código do módulo   Alteração da função LIS_ProcurarValor
11/09   1                   redigir script de teste    Adição de mais testes cobrindo a função LIS_ProcurarValor
